Date and time	IR	RED	Glucose  mg/dL
6/27/2026 23:00:08	117483	102746	108.93
6/27/2026 23:00:11	115389	101846	188.41
6/27/2026 23:00:14	115417	101824	191.0142857
6/27/2026 23:00:17	113458	100987	94.8635
6/27/2026 23:00:20	113952	101126	114.1930079
6/27/2026 23:00:23	108949	94494	270.74
6/27/2026 23:00:25	112643	98275	149.5885714
6/27/2026 23:00:29	111578	98437	191.0142857
6/27/2026 23:00:33	112058	98707	173.827619
6/27/2026 23:00:35	108506	97497	320.89
6/27/2026 23:00:38	107825	97323	184.67
6/27/2026 23:00:41	108276	97648	149.89
6/27/2026 23:00:45	110135	98487	92.53
6/27/2026 23:00:48	107815	97739	143.55
6/27/2026 23:00:51	111201	99117	105.55
6/27/2026 23:00:54	110644	99145	134.1625
6/27/2026 23:00:57	114286	100316	168.9225
6/27/2026 23:01:00	113143	99977	145.9527381
6/27/2026 23:01:03	112238	99762	90.51919048
6/27/2026 23:01:06	111575	99566	97.55
6/27/2026 23:01:10	110499	99188	342.97
6/27/2026 23:01:13	109207	98735	338.78
6/27/2026 23:01:17	114871	100853	138.9325
6/27/2026 23:01:20	114022	100826	144.4119048
6/27/2026 23:01:23	113070	100575	90.51919048
6/27/2026 23:01:26	111840	100221	134.1625
6/27/2026 23:01:29	111850	99750	105.59
6/27/2026 23:01:37	87605	78186	97.51
6/27/2026 23:01:41	118406	104422	191.0142857
6/27/2026 23:01:44	119006	104528	281.7633333
6/27/2026 23:01:48	120037	105583	188.087619
6/27/2026 23:01:52	106037	93524	191.0142857
6/27/2026 23:01:55	110491	95731	188.9128571
6/27/2026 23:01:58	110982	96111	199.17
6/27/2026 23:02:01	108685	95331	165.8325
6/27/2026 23:02:04	110571	96221	136.2271429
6/27/2026 23:02:07	110116	96106	149.3885714
6/27/2026 23:02:10	110780	96328	158.5871429
6/27/2026 23:02:14	111030	96505	158.1871429
6/27/2026 23:02:18	111545	96695	252.9
6/27/2026 23:02:21	113340	97266	99.673
6/27/2026 23:02:26	112797	96932	99.673
6/27/2026 23:02:29	112399	96848	163.58
6/27/2026 23:02:32	112890	97066	100.283
6/27/2026 23:02:35	112446	96823	114.453
6/27/2026 23:02:38	112112	96717	198.09
6/27/2026 23:02:41	113388	97113	115.673
6/27/2026 23:02:44	114973	97728	130.44
6/27/2026 23:02:47	114387	97584	98.17
6/27/2026 23:02:50	113059	97262	108.323
6/27/2026 23:02:54	113391	97440	99.673
6/27/2026 23:02:57	112279	97095	198.33
6/27/2026 23:03:00	112166	97173	188.9128571
6/27/2026 23:03:04	113732	97760	99.673
6/27/2026 23:03:07	111804	97099	158.1871429
6/27/2026 23:03:10	110426	96442	122.74
6/27/2026 23:03:13	109679	96262	168.9225
6/27/2026 23:03:15	110815	96660	148.4485714
6/27/2026 23:03:19	108866	94599	158.1871429
6/27/2026 23:03:22	111703	96234	125
6/27/2026 23:03:25	113048	96748	118.763
6/27/2026 23:03:28	111545	96025	114.453
6/27/2026 23:03:30	110562	95704	199.17
6/27/2026 23:03:33	111121	96116	199.17
6/27/2026 23:03:36	112297	96635	108.933
6/27/2026 23:03:39	111517	96403	198.33
6/27/2026 23:03:42	112887	96696	115.673
6/27/2026 23:03:46	113919	96989	121.74
6/27/2026 23:03:48	113920	97003	121.74
6/27/2026 23:03:51	114076	97210	104.14
6/27/2026 23:03:54	112922	96648	116.873
6/27/2026 23:03:57	111645	96243	180.76
6/27/2026 23:04:00	112964	96555	118.3016667
6/27/2026 23:04:04	109825	95514	155.8671429
6/27/2026 23:04:07	109206	95284	149.5885714
6/27/2026 23:04:10	110279	95873	158.1871429
6/27/2026 23:04:13	111278	96213	198.33
6/27/2026 23:04:16	112409	96670	101.393
6/27/2026 23:04:19	112232	96646	114.453
6/27/2026 23:04:22	111689	96449	198.33
6/27/2026 23:04:25	110409	95926	158.1871429
6/27/2026 23:04:28	112754	96694	99.673
6/27/2026 23:04:31	114480	97334	125.37
6/27/2026 23:04:34	115329	97630	202.59
6/27/2026 23:04:37	116712	98016	113.59
6/27/2026 23:04:41	117379	98029	352.2
6/27/2026 23:04:44	118847	98293	132.08375
6/27/2026 23:04:47	118929	98049	247.89
6/27/2026 23:04:50	118799	97558	152.99
6/27/2026 23:04:53	119221	97261	236.28
6/27/2026 23:04:55	120489	97719	275.44
6/27/2026 23:04:59	120300	97309	275.44
6/27/2026 23:05:02	119765	97176	275.44
6/27/2026 23:05:05	119193	97197	236.28
6/27/2026 23:05:08	117349	96860	148.91
6/27/2026 23:05:10	115955	96542	353.11
6/27/2026 23:05:13	95670	17791	360.08
6/28/2026 3:31:51	118026	99044	113.59
6/28/2026 3:31:54	114608	96569	187.13
6/28/2026 3:31:58	114666	96435	129.66
6/28/2026 3:32:01	115048	96718	114.86
